2025-05-31 07:24:38,967 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:24:44,257 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:24:49,497 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:24:54,732 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:24:59,982 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:05,226 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:10,477 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:15,743 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:21,025 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:26,355 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:31,736 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:36,984 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:42,229 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:47,485 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:52,723 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:25:57,977 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:26:03,223 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:26:08,511 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:26:13,731 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:26:18,977 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:26:24,234 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:26:29,511 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:26:34,775 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:26:40,019 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:26:45,244 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:26:50,493 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
